bag of sift, 100, 5, GRAYSCALE, support vector machine, 0.000050, 0.080667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.078000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.076667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.078000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.082667 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.081333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.085333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.090000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.095333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.089333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.091333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.087333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.083333 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.090000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.086000 
bag of sift, 100, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.090667 
bag of sift, 100, 5, RGB, support vector machine, 10.000000, 0.563333 
bag of sift, 100, 5, RGB, support vector machine, 1.000000, 0.541333 
bag of sift, 100, 5, RGB, support vector machine, 0.100000, 0.545333 
bag of sift, 100, 5, RGB, support vector machine, 0.010000, 0.566000 
bag of sift, 100, 5, RGB, support vector machine, 0.001000, 0.498667 
bag of sift, 100, 5, RGB, support vector machine, 0.000100, 0.560000 
bag of sift, 100, 5, RGB, support vector machine, 0.000010, 0.544000 
bag of sift, 100, 5, RGB, support vector machine, 0.000110, 0.524000 
bag of sift, 100, 5, RGB, support vector machine, 0.000010, 0.564667 
bag of sift, 100, 5, RGB, support vector machine, 0.000020, 0.562000 
bag of sift, 100, 5, RGB, support vector machine, 0.000030, 0.522000 
bag of sift, 100, 5, RGB, support vector machine, 0.000040, 0.550000 
bag of sift, 100, 5, RGB, support vector machine, 0.000050, 0.532667 
bag of sift, 100, 5, RGB, nearest neighbor, 1.000000, 0.489333 
bag of sift, 100, 5, RGB, nearest neighbor, 2.000000, 0.472000 
bag of sift, 100, 5, RGB, nearest neighbor, 3.000000, 0.492667 
bag of sift, 100, 5, RGB, nearest neighbor, 4.000000, 0.519333 
bag of sift, 100, 5, RGB, nearest neighbor, 5.000000, 0.524667 
bag of sift, 100, 5, RGB, nearest neighbor, 6.000000, 0.532667 
bag of sift, 100, 5, RGB, nearest neighbor, 7.000000, 0.515333 
bag of sift, 100, 5, RGB, nearest neighbor, 8.000000, 0.530667 
bag of sift, 100, 5, RGB, nearest neighbor, 9.000000, 0.526667 
bag of sift, 100, 5, RGB, nearest neighbor, 10.000000, 0.516000 
bag of sift, 100, 5, RGB, nearest neighbor, 11.000000, 0.509333 
bag of sift, 100, 5, RGB, nearest neighbor, 12.000000, 0.519333 
bag of sift, 100, 5, RGB, nearest neighbor, 13.000000, 0.523333 
bag of sift, 100, 5, RGB, nearest neighbor, 14.000000, 0.520000 
bag of sift, 100, 5, RGB, nearest neighbor, 15.000000, 0.518000 
bag of sift, 100, 5, RGB, support vector machine, 10.000000, 0.558000 
