FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000010, 0.536000 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000110, 0.534667 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000010, 0.461333 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000020, 0.557333 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000030, 0.522667 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000040, 0.518667 
bag of sift, 100, 5, 200, RGB, 0, support vector machine, 0.000050, 0.517333 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.640000 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.618000 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.553333 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.553333 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.544667 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.556667 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.541333 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.560667 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.556667 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.557333 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.555333 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.540667 
bag of sift, 200, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.558667 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.625333 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.622000 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.543333 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.562000 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.571333 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.568667 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.562667 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.569333 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.543333 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.561333 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.522667 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.566000 
bag of sift, 200, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.556000 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 10.000000, 0.634000 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 1.000000, 0.620000 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.100000, 0.561333 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.010000, 0.547333 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.001000, 0.566000 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000100, 0.570000 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.528667 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000110, 0.544667 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.554000 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000020, 0.548667 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000030, 0.544667 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000040, 0.560667 
bag of sift, 200, 5, 200, GRAYSCALE, 0, support vector machine, 0.000050, 0.559333 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 10.000000, 0.662000 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 1.000000, 0.580667 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.100000, 0.573333 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.010000, 0.588000 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.001000, 0.588000 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000100, 0.604667 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000010, 0.598667 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000110, 0.581333 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000010, 0.593333 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000020, 0.581333 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000030, 0.586000 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000040, 0.614000 
bag of sift, 200, 5, 10, RGB, 0, support vector machine, 0.000050, 0.589333 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 10.000000, 0.645333 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 1.000000, 0.590667 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.100000, 0.606667 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.010000, 0.578000 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.001000, 0.595333 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000100, 0.596667 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000010, 0.588667 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000110, 0.593333 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000010, 0.591333 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000020, 0.610667 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000030, 0.584667 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000040, 0.583333 
bag of sift, 200, 5, 100, RGB, 0, support vector machine, 0.000050, 0.575333 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 10.000000, 0.655333 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 1.000000, 0.585333 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.100000, 0.594000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.010000, 0.548000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.001000, 0.592000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000100, 0.598000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000010, 0.576000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000110, 0.577333 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000010, 0.602000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000020, 0.582000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000030, 0.586667 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000040, 0.584000 
bag of sift, 200, 5, 200, RGB, 0, support vector machine, 0.000050, 0.586000 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.642000 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.628000 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.590000 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.599333 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.584667 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.593333 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.588667 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.591333 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.592000 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.592000 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.588000 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.587333 
bag of sift, 400, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.592667 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.644000 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.632000 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.590667 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.596667 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.587333 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.590000 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.597333 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.594000 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.590000 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.594667 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.593333 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.592667 
bag of sift, 400, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.590667 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 10.000000, 0.636000 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 1.000000, 0.634667 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.100000, 0.592000 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.010000, 0.591333 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.001000, 0.591333 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000100, 0.595333 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.586667 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000110, 0.586667 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.587333 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000020, 0.588667 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000030, 0.587333 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000040, 0.590667 
bag of sift, 400, 5, 200, GRAYSCALE, 0, support vector machine, 0.000050, 0.597333 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 10.000000, 0.670000 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 1.000000, 0.620000 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.100000, 0.621333 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.010000, 0.618667 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.001000, 0.618667 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000100, 0.626000 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000010, 0.624000 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000110, 0.626000 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000010, 0.621333 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000020, 0.622667 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000030, 0.615333 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000040, 0.618667 
bag of sift, 400, 5, 10, RGB, 0, support vector machine, 0.000050, 0.621333 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 10.000000, 0.682000 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 1.000000, 0.620667 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.100000, 0.620000 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.010000, 0.623333 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.001000, 0.619333 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000100, 0.623333 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000010, 0.622667 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000110, 0.622667 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000010, 0.623333 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000020, 0.624000 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000030, 0.614000 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000040, 0.622000 
bag of sift, 400, 5, 100, RGB, 0, support vector machine, 0.000050, 0.623333 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 10.000000, 0.673333 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 1.000000, 0.622667 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.100000, 0.616000 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.010000, 0.623333 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.001000, 0.619333 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000100, 0.617333 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000010, 0.620000 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000110, 0.619333 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000010, 0.626000 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000020, 0.622667 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000030, 0.621333 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000040, 0.610667 
bag of sift, 400, 5, 200, RGB, 0, support vector machine, 0.000050, 0.628000 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.649333 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.670667 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.652000 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.661333 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.654000 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.654667 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.657333 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.653333 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.655333 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.654667 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.652667 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.656000 
bag of sift, 1000, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.655333 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.645333 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.660000 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.651333 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.656000 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.655333 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.660000 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.654000 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.652000 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.653333 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.659333 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.646667 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.657333 
bag of sift, 1000, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.652667 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 10.000000, 0.650000 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 1.000000, 0.668667 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.100000, 0.649333 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.010000, 0.660000 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.001000, 0.656000 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000100, 0.654667 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.652000 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000110, 0.652000 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000010, 0.650667 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000020, 0.659333 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000030, 0.654000 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000040, 0.648667 
bag of sift, 1000, 5, 200, GRAYSCALE, 0, support vector machine, 0.000050, 0.658667 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 10.000000, 0.694000 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 1.000000, 0.675333 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.100000, 0.678000 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.010000, 0.672667 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.001000, 0.674667 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000100, 0.670000 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000010, 0.672667 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000110, 0.668667 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000010, 0.675333 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000020, 0.671333 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000030, 0.674000 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000040, 0.671333 
bag of sift, 1000, 5, 10, RGB, 0, support vector machine, 0.000050, 0.675333 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 10.000000, 0.696667 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 1.000000, 0.678667 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.100000, 0.675333 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.010000, 0.670667 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.001000, 0.678000 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000100, 0.671333 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000010, 0.672667 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000110, 0.674667 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000010, 0.670667 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000020, 0.670000 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000030, 0.671333 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000040, 0.663333 
bag of sift, 1000, 5, 100, RGB, 0, support vector machine, 0.000050, 0.674667 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 10.000000, 0.698000 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 1.000000, 0.673333 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.100000, 0.672000 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.010000, 0.674667 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.001000, 0.671333 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000100, 0.670000 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000010, 0.680667 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000110, 0.672000 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000010, 0.668667 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000020, 0.667333 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000030, 0.670000 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000040, 0.672000 
bag of sift, 1000, 5, 200, RGB, 0, support vector machine, 0.000050, 0.676667 
