FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.590667 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.597333 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.590000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.590667 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.592000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.596000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.596000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.594000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 1, 0.493333 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 2, 0.489333 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 3, 0.479333 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 4, 0.504000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 5, 0.514000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 6, 0.522667 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 7, 0.522000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 8, 0.531333 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 9, 0.528000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 10, 0.529333 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 11, 0.526000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 12, 0.528667 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 13, 0.522667 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 14, 0.522000 
spatial pyramid, 400, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 15, 0.525333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.653333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.653333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.654000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.647333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.652667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.652667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.652000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.652667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.660000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.651333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.658000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.657333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.655333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 1, 0.476000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 2, 0.480667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 3, 0.480000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 4, 0.497333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 5, 0.500667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 6, 0.499333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 7, 0.501333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 8, 0.508000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 9, 0.505333 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 10, 0.514000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 11, 0.516000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 12, 0.518000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 13, 0.514667 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 14, 0.506000 
spatial pyramid, 1000, 1, 5, 10, GRAYSCALE, 0, nearest neighbor, 15, 0.508000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 10.000000, 0.524667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 1.000000, 0.522667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.100000, 0.550667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.010000, 0.523333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.001000, 0.455333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000100, 0.482667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.498667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000110, 0.544667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000010, 0.552000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000020, 0.540000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000030, 0.484000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000040, 0.556000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, support vector machine, 0.000050, 0.511333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 1, 0.509333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 2, 0.458667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 3, 0.480000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 4, 0.494667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 5, 0.520667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 6, 0.516667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 7, 0.512667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 8, 0.514667 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 9, 0.519333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 10, 0.519333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 11, 0.512000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 12, 0.524000 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 13, 0.519333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 14, 0.521333 
spatial pyramid, 100, 1, 5, 10, RGB, 0, nearest neighbor, 15, 0.512000 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 10.000000, 0.584667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 1.000000, 0.590667 
spatial pyramid, 200, 1, 5, 10, RGB, 0, support vector machine, 0.100000, 0.597333 
