FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.470000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.516000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.497333 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.568000 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.669333 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.658000 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.655333 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.658667 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.651333 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.658000 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.654667 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.657333 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.652667 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.654667 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.654667 
spatial pyramid, 1000, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.658667 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 10.000000, 0.638000 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 1.000000, 0.599333 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.100000, 0.530667 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.010000, 0.538000 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.001000, 0.522000 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000100, 0.558000 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000010, 0.474667 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000110, 0.494667 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000010, 0.536667 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000020, 0.530667 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000030, 0.530000 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000040, 0.527333 
spatial pyramid, 100, 1, 5, 100, RGB, 0, support vector machine, 0.000050, 0.557333 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 10.000000, 0.696000 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 1.000000, 0.674667 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.100000, 0.671333 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.010000, 0.671333 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.001000, 0.674667 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000100, 0.671333 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000010, 0.672000 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000110, 0.671333 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000010, 0.672667 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000020, 0.674000 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000030, 0.670667 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000040, 0.674000 
spatial pyramid, 1000, 1, 5, 100, RGB, 0, support vector machine, 0.000050, 0.672667 

spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.518667 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.626000 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.615333 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.568667 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.572667 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.560000 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.560667 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.564000 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.575333 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.582667 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.565333 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.574667 
spatial pyramid, 100, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.565333 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 10.000000, 0.526667 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 1.000000, 0.641333 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.100000, 0.688000 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.010000, 0.678000 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.001000, 0.680000 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.683333 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.679333 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.679333 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.686000 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.680000 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.680000 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.673333 
spatial pyramid, 1000, 2, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.686000 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 10.000000, 0.653333 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 1.000000, 0.700667 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.100000, 0.652000 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.010000, 0.647333 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.001000, 0.648667 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000100, 0.652000 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000010, 0.630667 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000110, 0.644000 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000010, 0.656000 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000020, 0.624667 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000030, 0.638667 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000040, 0.648667 
spatial pyramid, 100, 2, 5, 10, RGB, 0, support vector machine, 0.000050, 0.653333 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 10.000000, 0.650667 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 1.000000, 0.724000 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.100000, 0.701333 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.010000, 0.702667 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.001000, 0.698000 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000100, 0.703333 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000010, 0.702000 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000110, 0.702667 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000010, 0.701333 
spatial pyramid, 1000, 2, 5, 10, RGB, 0, support vector machine, 0.000020, 0.704000 
