FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/LAMBDA,accuracy
fisher encoding, 100, 5, 10, RGB, support vector machine, 0.000040, 0.760667 
fisher encoding, 100, 5, 10, RGB, support vector machine, 0.000050, 0.762000 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 10.000000, 0.526667 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 1.000000, 0.554667 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.100000, 0.683333 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.010000, 0.761333 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.001000, 0.756000 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000100, 0.760667 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000010, 0.760000 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000110, 0.762667 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000010, 0.758000 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000020, 0.762667 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000030, 0.761333 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000040, 0.762667 
fisher encoding, 1000, 5, 10, RGB, support vector machine, 0.000050, 0.760000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 10.000000, 0.512000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 1.000000, 0.564000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.100000, 0.680000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.010000, 0.719333 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.001000, 0.721333 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000100, 0.720000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000010, 0.715333 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000110, 0.718000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000010, 0.717333 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000020, 0.724000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000030, 0.724667 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000040, 0.726000 
fisher encoding, 100, 5, 100, GRAYSCALE, support vector machine, 0.000050, 0.721333 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 10.000000, 0.511333 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 1.000000, 0.574667 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.100000, 0.666000 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.010000, 0.717333 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.001000, 0.719333 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000100, 0.716000 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000010, 0.719333 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000110, 0.722667 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000010, 0.723333 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000020, 0.722000 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000030, 0.720667 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000040, 0.722667 
fisher encoding, 1000, 5, 100, GRAYSCALE, support vector machine, 0.000050, 0.721333 
fisher encoding, 100, 5, 100, RGB, support vector machine, 10.000000, 0.527333 
fisher encoding, 100, 5, 100, RGB, support vector machine, 1.000000, 0.573333 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.100000, 0.674667 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.010000, 0.755333 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.001000, 0.759333 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000100, 0.760000 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000010, 0.766667 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000110, 0.758000 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000010, 0.762000 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000020, 0.764000 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000030, 0.758667 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000040, 0.764000 
fisher encoding, 100, 5, 100, RGB, support vector machine, 0.000050, 0.758667 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 10.000000, 0.527333 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 1.000000, 0.535333 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.100000, 0.668000 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.010000, 0.760667 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.001000, 0.765333 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000100, 0.761333 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000010, 0.753333 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000110, 0.756667 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000010, 0.762667 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000020, 0.761333 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000030, 0.762667 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000040, 0.759333 
fisher encoding, 1000, 5, 100, RGB, support vector machine, 0.000050, 0.758000 
