                !--TOO MANY VARIABLES, TOO SLOW, COULD NOT BE FINISHED--!

FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 10, 15, 5, GRAYSCALE, support vector machine, 0.000040, 0.223333 
spatial pyramid, 10, 15, 5, GRAYSCALE, support vector machine, 0.000050, 0.247333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.285333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.282667 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.300667 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.325333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.343333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.352000 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.354000 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.351333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.367333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.370000 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.358000 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.371333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.369333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.365333 
spatial pyramid, 10, 15, 5, GRAYSCALE, nearest neighbor, 0.000050, 0.364667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 10.000000, 0.078000 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 1.000000, 0.220667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.100000, 0.238667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.010000, 0.316667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.001000, 0.193333 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000100, 0.178667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000010, 0.112667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000110, 0.144000 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000010, 0.116000 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000020, 0.150667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000030, 0.142667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000040, 0.200667 
spatial pyramid, 10, 5, 5, RGB, support vector machine, 0.000050, 0.163333 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.341333 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.328667 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.346000 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.372667 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.375333 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.383333 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.383333 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.377333 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.388000 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.392667 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.399333 
spatial pyramid, 10, 5, 5, RGB, nearest neighbor, 0.000050, 0.400667 
