FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,COLOUR_SPACE,CLASSIFIER, k/Lambda,accuracy
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.514000 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.526000 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.528000 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.536667 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.525333 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.526000 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.528667 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.528000 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.530000 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.522667 
bag of sift, 600, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.518000 
bag of sift, 600, 5, RGB, support vector machine, 10.000000, 0.642667 
bag of sift, 600, 5, RGB, support vector machine, 1.000000, 0.638667 
bag of sift, 600, 5, RGB, support vector machine, 0.100000, 0.640667 
bag of sift, 600, 5, RGB, support vector machine, 0.010000, 0.645333 
bag of sift, 600, 5, RGB, support vector machine, 0.001000, 0.641333 
bag of sift, 600, 5, RGB, support vector machine, 0.000100, 0.636667 
bag of sift, 600, 5, RGB, support vector machine, 0.000010, 0.640667 
bag of sift, 600, 5, RGB, support vector machine, 0.000110, 0.639333 
bag of sift, 600, 5, RGB, support vector machine, 0.000010, 0.635333 
bag of sift, 600, 5, RGB, support vector machine, 0.000020, 0.642000 
bag of sift, 600, 5, RGB, support vector machine, 0.000030, 0.637333 
bag of sift, 600, 5, RGB, support vector machine, 0.000040, 0.639333 
bag of sift, 600, 5, RGB, support vector machine, 0.000050, 0.638667 
bag of sift, 600, 5, RGB, nearest neighbor, 1.000000, 0.501333 
bag of sift, 600, 5, RGB, nearest neighbor, 2.000000, 0.474667 
bag of sift, 600, 5, RGB, nearest neighbor, 3.000000, 0.518667 
bag of sift, 600, 5, RGB, nearest neighbor, 4.000000, 0.540000 
bag of sift, 600, 5, RGB, nearest neighbor, 5.000000, 0.542667 
bag of sift, 600, 5, RGB, nearest neighbor, 6.000000, 0.544000 
bag of sift, 600, 5, RGB, nearest neighbor, 7.000000, 0.550667 
bag of sift, 600, 5, RGB, nearest neighbor, 8.000000, 0.545333 
bag of sift, 600, 5, RGB, nearest neighbor, 9.000000, 0.538667 
bag of sift, 600, 5, RGB, nearest neighbor, 10.000000, 0.547333 
bag of sift, 600, 5, RGB, nearest neighbor, 11.000000, 0.536667 
bag of sift, 600, 5, RGB, nearest neighbor, 12.000000, 0.535333 
bag of sift, 600, 5, RGB, nearest neighbor, 13.000000, 0.541333 
bag of sift, 600, 5, RGB, nearest neighbor, 14.000000, 0.536667 
bag of sift, 600, 5, RGB, nearest neighbor, 15.000000, 0.530000 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 10.000000, 0.635333 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 1.000000, 0.634667 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.100000, 0.634667 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.010000, 0.639333 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.001000, 0.634667 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000100, 0.638667 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000010, 0.633333 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000110, 0.636000 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000010, 0.636000 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000020, 0.636667 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000030, 0.634667 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000040, 0.638667 
bag of sift, 800, 5, GRAYSCALE, support vector machine, 0.000050, 0.636000 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.471333 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.485333 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.488667 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.498667 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.508000 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.518000 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.525333 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.522667 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.520000 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.521333 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.525333 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.520000 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.518000 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.516667 
bag of sift, 800, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.513333 
bag of sift, 800, 5, RGB, support vector machine, 10.000000, 0.650667 
bag of sift, 800, 5, RGB, support vector machine, 1.000000, 0.650667 
bag of sift, 800, 5, RGB, support vector machine, 0.100000, 0.654000 
bag of sift, 800, 5, RGB, support vector machine, 0.010000, 0.650000 
bag of sift, 800, 5, RGB, support vector machine, 0.001000, 0.650000 
bag of sift, 800, 5, RGB, support vector machine, 0.000100, 0.649333 
bag of sift, 800, 5, RGB, support vector machine, 0.000010, 0.654000 
bag of sift, 800, 5, RGB, support vector machine, 0.000110, 0.651333 
bag of sift, 800, 5, RGB, support vector machine, 0.000010, 0.652000 
bag of sift, 800, 5, RGB, support vector machine, 0.000020, 0.650000 
bag of sift, 800, 5, RGB, support vector machine, 0.000030, 0.650000 
bag of sift, 800, 5, RGB, support vector machine, 0.000040, 0.651333 
bag of sift, 800, 5, RGB, support vector machine, 0.000050, 0.651333 
bag of sift, 800, 5, RGB, nearest neighbor, 1.000000, 0.499333 
bag of sift, 800, 5, RGB, nearest neighbor, 2.000000, 0.480000 
bag of sift, 800, 5, RGB, nearest neighbor, 3.000000, 0.514000 
bag of sift, 800, 5, RGB, nearest neighbor, 4.000000, 0.528000 
bag of sift, 800, 5, RGB, nearest neighbor, 5.000000, 0.542000 
bag of sift, 800, 5, RGB, nearest neighbor, 6.000000, 0.540000 
bag of sift, 800, 5, RGB, nearest neighbor, 7.000000, 0.538667 
bag of sift, 800, 5, RGB, nearest neighbor, 8.000000, 0.536000 
bag of sift, 800, 5, RGB, nearest neighbor, 9.000000, 0.531333 
bag of sift, 800, 5, RGB, nearest neighbor, 10.000000, 0.534667 
bag of sift, 800, 5, RGB, nearest neighbor, 11.000000, 0.541333 
bag of sift, 800, 5, RGB, nearest neighbor, 12.000000, 0.538667 
bag of sift, 800, 5, RGB, nearest neighbor, 13.000000, 0.530000 
bag of sift, 800, 5, RGB, nearest neighbor, 14.000000, 0.533333 
bag of sift, 800, 5, RGB, nearest neighbor, 15.000000, 0.530000 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 10.000000, 0.656000 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 1.000000, 0.654000 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.100000, 0.653333 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.010000, 0.649333 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.001000, 0.652000 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000100, 0.652667 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000010, 0.652000 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000110, 0.656000 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000010, 0.649333 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000020, 0.649333 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000030, 0.653333 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000040, 0.655333 
bag of sift, 1000, 5, GRAYSCALE, support vector machine, 0.000050, 0.654000 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.481333 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.500667 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.502000 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.524667 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.511333 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.526000 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.528667 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.528667 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.516000 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.524667 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.517333 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.519333 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.520000 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.516000 
bag of sift, 1000, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.510000 
bag of sift, 1000, 5, RGB, support vector machine, 10.000000, 0.680000 
bag of sift, 1000, 5, RGB, support vector machine, 1.000000, 0.676000 
bag of sift, 1000, 5, RGB, support vector machine, 0.100000, 0.672667 
bag of sift, 1000, 5, RGB, support vector machine, 0.010000, 0.677333 
bag of sift, 1000, 5, RGB, support vector machine, 0.001000, 0.675333 
bag of sift, 1000, 5, RGB, support vector machine, 0.000100, 0.673333 
bag of sift, 1000, 5, RGB, support vector machine, 0.000010, 0.674667 
bag of sift, 1000, 5, RGB, support vector machine, 0.000110, 0.674667 
bag of sift, 1000, 5, RGB, support vector machine, 0.000010, 0.674667 
bag of sift, 1000, 5, RGB, support vector machine, 0.000020, 0.677333 
bag of sift, 1000, 5, RGB, support vector machine, 0.000030, 0.672667 
bag of sift, 1000, 5, RGB, support vector machine, 0.000040, 0.676000 
bag of sift, 1000, 5, RGB, support vector machine, 0.000050, 0.677333 
bag of sift, 1000, 5, RGB, nearest neighbor, 1.000000, 0.500000 
bag of sift, 1000, 5, RGB, nearest neighbor, 2.000000, 0.480667 
bag of sift, 1000, 5, RGB, nearest neighbor, 3.000000, 0.511333 
bag of sift, 1000, 5, RGB, nearest neighbor, 4.000000, 0.522667 
bag of sift, 1000, 5, RGB, nearest neighbor, 5.000000, 0.532667 
bag of sift, 1000, 5, RGB, nearest neighbor, 6.000000, 0.538667 
bag of sift, 1000, 5, RGB, nearest neighbor, 7.000000, 0.534667 
bag of sift, 1000, 5, RGB, nearest neighbor, 8.000000, 0.540667 
bag of sift, 1000, 5, RGB, nearest neighbor, 9.000000, 0.535333 
bag of sift, 1000, 5, RGB, nearest neighbor, 10.000000, 0.534000 
bag of sift, 1000, 5, RGB, nearest neighbor, 11.000000, 0.532667 
bag of sift, 1000, 5, RGB, nearest neighbor, 12.000000, 0.529333 
bag of sift, 1000, 5, RGB, nearest neighbor, 13.000000, 0.536667 
bag of sift, 1000, 5, RGB, nearest neighbor, 14.000000, 0.532000 
bag of sift, 1000, 5, RGB, nearest neighbor, 15.000000, 0.538000 
