FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 10, 5, 15, GRAYSCALE, support vector machine, 0.000050, 0.080667 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 1.000000, 0.352667 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 2.000000, 0.326667 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 3.000000, 0.349333 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 4.000000, 0.359333 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 5.000000, 0.366667 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 6.000000, 0.376000 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 7.000000, 0.381333 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 8.000000, 0.380667 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 9.000000, 0.385333 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 10.000000, 0.385333 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 11.000000, 0.393333 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 12.000000, 0.385333 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 13.000000, 0.392000 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 14.000000, 0.404000 
spatial pyramid, 10, 5, 15, GRAYSCALE, nearest neighbor, 15.000000, 0.402000 
---------------------------------------------------------------------------------
---------------------------------------------------------------------------------
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 10.000000, 0.275333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 1.000000, 0.176000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.100000, 0.144667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.010000, 0.170000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.001000, 0.300667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000100, 0.148667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000010, 0.238667 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000110, 0.184000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000010, 0.071333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000020, 0.129333 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000030, 0.182000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000040, 0.178000 
spatial pyramid, 10, 5, 5, GRAYSCALE, support vector machine, 0.000050, 0.102000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.348667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.326000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.348000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.367333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.381333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.387333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.396667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.394000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.392667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.391333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.393333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.388667 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.393333 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.396000 
spatial pyramid, 10, 5, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.392000 
spatial pyramid, 10, 5, 10, GRAYSCALE, support vector machine, 10.000000, 0.120000 
